year,level_1,level_2,level_3,value
1980,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,5.2
1980,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,84.8
1980,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,96.2
1980,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.8
1990,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,26.8
1990,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,95.2
1990,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97.6
1990,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.8
1995,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,17.5
1995,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,96
1995,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,98.1
1995,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.2
2000,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,19.3
2000,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,96.1
2000,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,98
2000,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.5
2001,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,20.8
2001,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,96.8
2001,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,98.2
2001,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.7
2002,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,25.5
2002,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,96.3
2002,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,98.2
2002,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.5
2003,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,25.2
2003,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,95
2003,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97.8
2003,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.5
2004,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,34.4
2004,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,95.9
2004,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97.7
2004,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,98.2
2005,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,23.8
2005,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,94.4
2005,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97.3
2005,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.9
2006,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,19.6
2006,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,93.7
2006,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97.2
2006,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.4
2007,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,20.6
2007,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,92.9
2007,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,96.4
2007,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,96.8
2008,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,19.4
2008,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,92.4
2008,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,95.9
2008,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97
2009,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,17.7
2009,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,91.2
2009,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,95.3
2009,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,96.1
2010,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,18.4
2010,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,90
2010,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,93.6
2010,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,94.4
2011,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,18.1
2011,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,91.2
2011,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,94.9
2011,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,96.2
2012,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,23.1
2012,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,93.3
2012,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,96.6
2012,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97
2013,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,22.3
2013,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,94.1
2013,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,97
2013,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.2
2014,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,23.9
2014,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,94.4
2014,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,96.8
2014,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.4
2015,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 1- And 2-Room Flats,33.9
2015,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 3-Room Flats,94.8
2015,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 4-Room Flats,96.8
2015,Home Ownership Rate Among Resident Households,Total HDB Dwellings,HDB 5-Room And Executive Flats,97.2
