year,level_1,level_2,value
1980,Average Household Size Among Resident Households,Total HDB Dwellings,4.82
1980,Average Household Size Among Resident Households,Condominiums And Other Apartments,4.04
1980,Average Household Size Among Resident Households,Landed Properties,4.91
1980,Average Household Size Among Resident Households,Other Types Of Dwelling,5.17
1983,Average Household Size Among Resident Households,Total HDB Dwellings,4.73
1983,Average Household Size Among Resident Households,Condominiums And Other Apartments,4.02
1983,Average Household Size Among Resident Households,Landed Properties,4.88
1983,Average Household Size Among Resident Households,Other Types Of Dwelling,5.23
1984,Average Household Size Among Resident Households,Total HDB Dwellings,4.66
1984,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.91
1984,Average Household Size Among Resident Households,Landed Properties,4.89
1984,Average Household Size Among Resident Households,Other Types Of Dwelling,5.13
1985,Average Household Size Among Resident Households,Total HDB Dwellings,4.48
1985,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.95
1985,Average Household Size Among Resident Households,Landed Properties,4.85
1985,Average Household Size Among Resident Households,Other Types Of Dwelling,4.77
1986,Average Household Size Among Resident Households,Total HDB Dwellings,4.34
1986,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.75
1986,Average Household Size Among Resident Households,Landed Properties,4.61
1986,Average Household Size Among Resident Households,Other Types Of Dwelling,4.8
1987,Average Household Size Among Resident Households,Total HDB Dwellings,4.32
1987,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.68
1987,Average Household Size Among Resident Households,Landed Properties,4.68
1987,Average Household Size Among Resident Households,Other Types Of Dwelling,4.86
1988,Average Household Size Among Resident Households,Total HDB Dwellings,4.23
1988,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.56
1988,Average Household Size Among Resident Households,Landed Properties,4.59
1988,Average Household Size Among Resident Households,Other Types Of Dwelling,4.21
1989,Average Household Size Among Resident Households,Total HDB Dwellings,4.15
1989,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.48
1989,Average Household Size Among Resident Households,Landed Properties,4.46
1989,Average Household Size Among Resident Households,Other Types Of Dwelling,4.11
1990,Average Household Size Among Resident Households,Total HDB Dwellings,4.24
1990,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.83
1990,Average Household Size Among Resident Households,Landed Properties,4.86
1990,Average Household Size Among Resident Households,Other Types Of Dwelling,3.74
1991,Average Household Size Among Resident Households,Total HDB Dwellings,4.09
1991,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.66
1991,Average Household Size Among Resident Households,Landed Properties,4.57
1991,Average Household Size Among Resident Households,Other Types Of Dwelling,3.42
1992,Average Household Size Among Resident Households,Total HDB Dwellings,4.04
1992,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.72
1992,Average Household Size Among Resident Households,Landed Properties,4.61
1992,Average Household Size Among Resident Households,Other Types Of Dwelling,3.51
1993,Average Household Size Among Resident Households,Total HDB Dwellings,4.03
1993,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.73
1993,Average Household Size Among Resident Households,Landed Properties,4.65
1993,Average Household Size Among Resident Households,Other Types Of Dwelling,3.49
1994,Average Household Size Among Resident Households,Total HDB Dwellings,3.96
1994,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.72
1994,Average Household Size Among Resident Households,Landed Properties,4.53
1994,Average Household Size Among Resident Households,Other Types Of Dwelling,3.26
1995,Average Household Size Among Resident Households,Total HDB Dwellings,3.94
1995,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.56
1995,Average Household Size Among Resident Households,Landed Properties,4.69
1995,Average Household Size Among Resident Households,Other Types Of Dwelling,3.14
1996,Average Household Size Among Resident Households,Total HDB Dwellings,3.83
1996,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.67
1996,Average Household Size Among Resident Households,Landed Properties,4.48
1996,Average Household Size Among Resident Households,Other Types Of Dwelling,3.32
1997,Average Household Size Among Resident Households,Total HDB Dwellings,3.75
1997,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.61
1997,Average Household Size Among Resident Households,Landed Properties,4.3
1997,Average Household Size Among Resident Households,Other Types Of Dwelling,3.3
1998,Average Household Size Among Resident Households,Total HDB Dwellings,3.72
1998,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.61
1998,Average Household Size Among Resident Households,Landed Properties,4.39
1998,Average Household Size Among Resident Households,Other Types Of Dwelling,3.31
1999,Average Household Size Among Resident Households,Total HDB Dwellings,3.61
1999,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.57
1999,Average Household Size Among Resident Households,Landed Properties,4.31
1999,Average Household Size Among Resident Households,Other Types Of Dwelling,3.12
2000,Average Household Size Among Resident Households,Total HDB Dwellings,3.66
2000,Average Household Size Among Resident Households,Condominiums And Other Apartments,3.67
2000,Average Household Size Among Resident Households,Landed Properties,4.65
