year,level_1,level_2,level_3,value
1990,Total,Services,Wholesale And Retail Trade,na
1990,Total,Services,Transportation And Storage,na
1990,Total,Services,Accommodation And Food Services,na
1990,Total,Services,Information And Communications,na
1990,Total,Services,Financial And Insurance Services,na
1990,Total,Services,Real Estate Services,na
1990,Total,Services,Professional Services,na
1990,Total,Services,Administrative And Support Services,na
1990,Total,Services,"Community, Social And Personal Services",na
1991,Total,Services,Wholesale And Retail Trade,na
1991,Total,Services,Transportation And Storage,na
1991,Total,Services,Accommodation And Food Services,na
1991,Total,Services,Information And Communications,na
1991,Total,Services,Financial And Insurance Services,na
1991,Total,Services,Real Estate Services,na
1991,Total,Services,Professional Services,na
1991,Total,Services,Administrative And Support Services,na
1991,Total,Services,"Community, Social And Personal Services",na
1992,Total,Services,Wholesale And Retail Trade,na
1992,Total,Services,Transportation And Storage,na
1992,Total,Services,Accommodation And Food Services,na
1992,Total,Services,Information And Communications,na
1992,Total,Services,Financial And Insurance Services,na
1992,Total,Services,Real Estate Services,na
1992,Total,Services,Professional Services,na
1992,Total,Services,Administrative And Support Services,na
1992,Total,Services,"Community, Social And Personal Services",na
1993,Total,Services,Wholesale And Retail Trade,na
1993,Total,Services,Transportation And Storage,na
1993,Total,Services,Accommodation And Food Services,na
1993,Total,Services,Information And Communications,na
1993,Total,Services,Financial And Insurance Services,na
1993,Total,Services,Real Estate Services,na
1993,Total,Services,Professional Services,na
1993,Total,Services,Administrative And Support Services,na
1993,Total,Services,"Community, Social And Personal Services",na
1994,Total,Services,Wholesale And Retail Trade,na
1994,Total,Services,Transportation And Storage,na
1994,Total,Services,Accommodation And Food Services,na
1994,Total,Services,Information And Communications,na
1994,Total,Services,Financial And Insurance Services,na
1994,Total,Services,Real Estate Services,na
1994,Total,Services,Professional Services,na
1994,Total,Services,Administrative And Support Services,na
1994,Total,Services,"Community, Social And Personal Services",na
1995,Total,Services,Wholesale And Retail Trade,na
1995,Total,Services,Transportation And Storage,na
1995,Total,Services,Accommodation And Food Services,na
1995,Total,Services,Information And Communications,na
1995,Total,Services,Financial And Insurance Services,na
1995,Total,Services,Real Estate Services,na
1995,Total,Services,Professional Services,na
1995,Total,Services,Administrative And Support Services,na
1995,Total,Services,"Community, Social And Personal Services",na
1996,Total,Services,Wholesale And Retail Trade,na
1996,Total,Services,Transportation And Storage,na
1996,Total,Services,Accommodation And Food Services,na
1996,Total,Services,Information And Communications,na
1996,Total,Services,Financial And Insurance Services,na
1996,Total,Services,Real Estate Services,na
1996,Total,Services,Professional Services,na
1996,Total,Services,Administrative And Support Services,na
1996,Total,Services,"Community, Social And Personal Services",na
1997,Total,Services,Wholesale And Retail Trade,na
1997,Total,Services,Transportation And Storage,na
1997,Total,Services,Accommodation And Food Services,na
1997,Total,Services,Information And Communications,na
1997,Total,Services,Financial And Insurance Services,na
1997,Total,Services,Real Estate Services,na
1997,Total,Services,Professional Services,na
1997,Total,Services,Administrative And Support Services,na
1997,Total,Services,"Community, Social And Personal Services",na
1998,Total,Services,Wholesale And Retail Trade,na
1998,Total,Services,Transportation And Storage,na
1998,Total,Services,Accommodation And Food Services,na
1998,Total,Services,Information And Communications,na
1998,Total,Services,Financial And Insurance Services,na
1998,Total,Services,Real Estate Services,na
1998,Total,Services,Professional Services,na
1998,Total,Services,Administrative And Support Services,na
1998,Total,Services,"Community, Social And Personal Services",na
1999,Total,Services,Wholesale And Retail Trade,na
1999,Total,Services,Transportation And Storage,na
1999,Total,Services,Accommodation And Food Services,na
1999,Total,Services,Information And Communications,na
1999,Total,Services,Financial And Insurance Services,na
1999,Total,Services,Real Estate Services,na
1999,Total,Services,Professional Services,na
1999,Total,Services,Administrative And Support Services,na
1999,Total,Services,"Community, Social And Personal Services",na
2000,Total,Services,Wholesale And Retail Trade,na
2000,Total,Services,Transportation And Storage,na
2000,Total,Services,Accommodation And Food Services,na
2000,Total,Services,Information And Communications,na
2000,Total,Services,Financial And Insurance Services,na
2000,Total,Services,Real Estate Services,na
2000,Total,Services,Professional Services,na
2000,Total,Services,Administrative And Support Services,na
2000,Total,Services,"Community, Social And Personal Services",na
2001,Total,Services,Wholesale And Retail Trade,na
2001,Total,Services,Transportation And Storage,na
2001,Total,Services,Accommodation And Food Services,na
2001,Total,Services,Information And Communications,na
2001,Total,Services,Financial And Insurance Services,na
2001,Total,Services,Real Estate Services,na
2001,Total,Services,Professional Services,na
2001,Total,Services,Administrative And Support Services,na
2001,Total,Services,"Community, Social And Personal Services",na
2002,Total,Services,Wholesale And Retail Trade,na
2002,Total,Services,Transportation And Storage,na
2002,Total,Services,Accommodation And Food Services,na
2002,Total,Services,Information And Communications,na
2002,Total,Services,Financial And Insurance Services,na
2002,Total,Services,Real Estate Services,na
2002,Total,Services,Professional Services,na
2002,Total,Services,Administrative And Support Services,na
2002,Total,Services,"Community, Social And Personal Services",na
2003,Total,Services,Wholesale And Retail Trade,na
2003,Total,Services,Transportation And Storage,na
2003,Total,Services,Accommodation And Food Services,na
2003,Total,Services,Information And Communications,na
2003,Total,Services,Financial And Insurance Services,na
2003,Total,Services,Real Estate Services,na
2003,Total,Services,Professional Services,na
2003,Total,Services,Administrative And Support Services,na
2003,Total,Services,"Community, Social And Personal Services",na
2004,Total,Services,Wholesale And Retail Trade,na
2004,Total,Services,Transportation And Storage,na
2004,Total,Services,Accommodation And Food Services,na
2004,Total,Services,Information And Communications,na
2004,Total,Services,Financial And Insurance Services,na
2004,Total,Services,Real Estate Services,na
2004,Total,Services,Professional Services,na
2004,Total,Services,Administrative And Support Services,na
2004,Total,Services,"Community, Social And Personal Services",na
2005,Total,Services,Wholesale And Retail Trade,na
2005,Total,Services,Transportation And Storage,na
2005,Total,Services,Accommodation And Food Services,na
2005,Total,Services,Information And Communications,na
2005,Total,Services,Financial And Insurance Services,na
2005,Total,Services,Real Estate Services,na
2005,Total,Services,Professional Services,na
2005,Total,Services,Administrative And Support Services,na
2005,Total,Services,"Community, Social And Personal Services",na
2006,Total,Services,Wholesale And Retail Trade,3.3
2006,Total,Services,Transportation And Storage,2
2006,Total,Services,Accommodation And Food Services,5.1
2006,Total,Services,Information And Communications,3.1
2006,Total,Services,Financial And Insurance Services,2.7
2006,Total,Services,Real Estate Services,4.5
2006,Total,Services,Professional Services,3.5
2006,Total,Services,Administrative And Support Services,4.9
2006,Total,Services,"Community, Social And Personal Services",1.6
2007,Total,Services,Wholesale And Retail Trade,3.5
2007,Total,Services,Transportation And Storage,2.4
2007,Total,Services,Accommodation And Food Services,5.1
2007,Total,Services,Information And Communications,3
2007,Total,Services,Financial And Insurance Services,3.1
2007,Total,Services,Real Estate Services,4
2007,Total,Services,Professional Services,3.6
2007,Total,Services,Administrative And Support Services,4.9
2007,Total,Services,"Community, Social And Personal Services",1.8
2008,Total,Services,Wholesale And Retail Trade,3.3
2008,Total,Services,Transportation And Storage,2.5
2008,Total,Services,Accommodation And Food Services,4.6
2008,Total,Services,Information And Communications,2.9
2008,Total,Services,Financial And Insurance Services,2.4
2008,Total,Services,Real Estate Services,3.8
2008,Total,Services,Professional Services,3.4
2008,Total,Services,Administrative And Support Services,4.6
2008,Total,Services,"Community, Social And Personal Services",2
2009,Total,Services,Wholesale And Retail Trade,2.7
2009,Total,Services,Transportation And Storage,1.4
2009,Total,Services,Accommodation And Food Services,3.8
2009,Total,Services,Information And Communications,2
2009,Total,Services,Financial And Insurance Services,1.6
2009,Total,Services,Real Estate Services,3.6
2009,Total,Services,Professional Services,2.3
2009,Total,Services,Administrative And Support Services,4.3
2009,Total,Services,"Community, Social And Personal Services",2
2010,Total,Services,Wholesale And Retail Trade,3.6
2010,Total,Services,Transportation And Storage,2.3
2010,Total,Services,Accommodation And Food Services,4.7
2010,Total,Services,Information And Communications,3.2
2010,Total,Services,Financial And Insurance Services,2.7
2010,Total,Services,Real Estate Services,3.9
2010,Total,Services,Professional Services,2.7
2010,Total,Services,Administrative And Support Services,4.8
2010,Total,Services,"Community, Social And Personal Services",2.3
2011,Total,Services,Wholesale And Retail Trade,3.2
2011,Total,Services,Transportation And Storage,2.4
2011,Total,Services,Accommodation And Food Services,4.9
2011,Total,Services,Information And Communications,3
2011,Total,Services,Financial And Insurance Services,2.4
2011,Total,Services,Real Estate Services,4.1
2011,Total,Services,Professional Services,2.8
2011,Total,Services,Administrative And Support Services,4.9
2011,Total,Services,"Community, Social And Personal Services",1.9
2012,Total,Services,Wholesale And Retail Trade,3.4
2012,Total,Services,Transportation And Storage,2.3
2012,Total,Services,Accommodation And Food Services,4.6
2012,Total,Services,Information And Communications,2.8
2012,Total,Services,Financial And Insurance Services,1.9
2012,Total,Services,Real Estate Services,4.1
2012,Total,Services,Professional Services,2.9
2012,Total,Services,Administrative And Support Services,4.6
2012,Total,Services,"Community, Social And Personal Services",1.8
2013,Total,Services,Wholesale And Retail Trade,3.5
2013,Total,Services,Transportation And Storage,2.3
2013,Total,Services,Accommodation And Food Services,4.6
2013,Total,Services,Information And Communications,2.7
2013,Total,Services,Financial And Insurance Services,2.1
2013,Total,Services,Real Estate Services,3.6
2013,Total,Services,Professional Services,2.5
2013,Total,Services,Administrative And Support Services,4.8
2013,Total,Services,"Community, Social And Personal Services",1.6
2014,Total,Services,Wholesale And Retail Trade,3.1
2014,Total,Services,Transportation And Storage,2.1
2014,Total,Services,Accommodation And Food Services,4.7
2014,Total,Services,Information And Communications,3
2014,Total,Services,Financial And Insurance Services,2.2
2014,Total,Services,Real Estate Services,3.8
2014,Total,Services,Professional Services,2.3
2014,Total,Services,Administrative And Support Services,5.2
2014,Total,Services,"Community, Social And Personal Services",1.6
2015,Total,Services,Wholesale And Retail Trade,2.7
2015,Total,Services,Transportation And Storage,2
2015,Total,Services,Accommodation And Food Services,4.5
2015,Total,Services,Information And Communications,2.6
2015,Total,Services,Financial And Insurance Services,2
2015,Total,Services,Real Estate Services,3.5
2015,Total,Services,Professional Services,2.2
2015,Total,Services,Administrative And Support Services,4.7
2015,Total,Services,"Community, Social And Personal Services",1.6
