year,level_1,level_2,value
1990,Total,Manufacturing,na
1990,Total,Construction,na
1990,Total,Wholesale And Retail Trade,na
1990,Total,Transportation And Storage,na
1990,Total,Accommodation And Food Services,na
1990,Total,Information And Communications,na
1990,Total,Financial And Insurance Services,na
1990,Total,Real Estate Services,na
1990,Total,Professional Services,na
1990,Total,Administrative And Support Services,na
1990,Total,"Community, Social And Personal Services",na
1990,Total,Others,na
1991,Total,Manufacturing,na
1991,Total,Construction,na
1991,Total,Wholesale And Retail Trade,na
1991,Total,Transportation And Storage,na
1991,Total,Accommodation And Food Services,na
1991,Total,Information And Communications,na
1991,Total,Financial And Insurance Services,na
1991,Total,Real Estate Services,na
1991,Total,Professional Services,na
1991,Total,Administrative And Support Services,na
1991,Total,"Community, Social And Personal Services",na
1991,Total,Others,na
1992,Total,Manufacturing,na
1992,Total,Construction,na
1992,Total,Wholesale And Retail Trade,na
1992,Total,Transportation And Storage,na
1992,Total,Accommodation And Food Services,na
1992,Total,Information And Communications,na
1992,Total,Financial And Insurance Services,na
1992,Total,Real Estate Services,na
1992,Total,Professional Services,na
1992,Total,Administrative And Support Services,na
1992,Total,"Community, Social And Personal Services",na
1992,Total,Others,na
1993,Total,Manufacturing,na
1993,Total,Construction,na
1993,Total,Wholesale And Retail Trade,na
1993,Total,Transportation And Storage,na
1993,Total,Accommodation And Food Services,na
1993,Total,Information And Communications,na
1993,Total,Financial And Insurance Services,na
1993,Total,Real Estate Services,na
1993,Total,Professional Services,na
1993,Total,Administrative And Support Services,na
1993,Total,"Community, Social And Personal Services",na
1993,Total,Others,na
1994,Total,Manufacturing,na
1994,Total,Construction,na
1994,Total,Wholesale And Retail Trade,na
1994,Total,Transportation And Storage,na
1994,Total,Accommodation And Food Services,na
1994,Total,Information And Communications,na
1994,Total,Financial And Insurance Services,na
1994,Total,Real Estate Services,na
1994,Total,Professional Services,na
1994,Total,Administrative And Support Services,na
1994,Total,"Community, Social And Personal Services",na
1994,Total,Others,na
1995,Total,Manufacturing,na
1995,Total,Construction,na
1995,Total,Wholesale And Retail Trade,na
1995,Total,Transportation And Storage,na
1995,Total,Accommodation And Food Services,na
1995,Total,Information And Communications,na
1995,Total,Financial And Insurance Services,na
1995,Total,Real Estate Services,na
1995,Total,Professional Services,na
1995,Total,Administrative And Support Services,na
1995,Total,"Community, Social And Personal Services",na
1995,Total,Others,na
1996,Total,Manufacturing,na
1996,Total,Construction,na
1996,Total,Wholesale And Retail Trade,na
1996,Total,Transportation And Storage,na
