quarter,level_1,level_2,level_3,level_4,value
1991-Q1,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1991-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1991-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1991-Q2,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1991-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1991-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1991-Q3,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1991-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1991-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1991-Q4,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1991-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1991-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1992-Q1,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1992-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1992-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1992-Q2,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1992-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1992-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1992-Q3,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1992-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1992-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1992-Q4,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1992-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1992-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1993-Q1,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1993-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1993-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1993-Q2,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1993-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1993-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1993-Q3,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1993-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1993-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1993-Q4,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1993-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1993-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1994-Q1,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1994-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1994-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1994-Q2,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1994-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1994-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1994-Q3,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1994-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1994-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1994-Q4,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1994-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1994-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1995-Q1,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1995-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1995-Q1,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1995-Q2,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1995-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1995-Q2,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1995-Q3,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1995-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1995-Q3,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
1995-Q4,Total Changes In Employment,Services Producing Industries,Business Services,Real Estate Services,na
1995-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Public Administration & Education,na
1995-Q4,Total Changes In Employment,Services Producing Industries,Other Services Industries,Health & Social Services,na
