year,level_1,level_2,level_3,level_4,value
1990,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Real Estate Services,39.1
1990,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Professional Services,42.1
1990,"All Occupation Groups, (Total Employed Residents)",Services,Business Services,Administrative & Support Services,27.5
1990,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Public Administration & Education Services,141.6
1990,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services",Health & Social Services,33
1990,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,"All Occupation Groups, (Total Employed Residents)",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,"Legislators, Senior Officials & Managers",Services,Business Services,Real Estate Services,3.2
1990,"Legislators, Senior Officials & Managers",Services,Business Services,Professional Services,5.1
1990,"Legislators, Senior Officials & Managers",Services,Business Services,Administrative & Support Services,2.7
1990,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Public Administration & Education Services,1.9
1990,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services",Health & Social Services,0.6
1990,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,"Legislators, Senior Officials & Managers",Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Managers & Administrators,Services,Business Services,Real Estate Services,na
1990,Managers & Administrators,Services,Business Services,Professional Services,na
1990,Managers & Administrators,Services,Business Services,Administrative & Support Services,na
1990,Managers & Administrators,Services,"Community, Social & Personal Services",Public Administration & Education Services,na
1990,Managers & Administrators,Services,"Community, Social & Personal Services",Health & Social Services,na
1990,Managers & Administrators,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Managers & Administrators,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Working Proprietors,Services,Business Services,Real Estate Services,na
1990,Working Proprietors,Services,Business Services,Professional Services,na
