year,level_1,level_2,level_3,value
1990,"All Occupation Groups, (Total Employed Female Residents)","Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,"All Occupation Groups, (Total Employed Female Residents)","Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 15 - 19 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 15 - 19 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 20 - 24 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 20 - 24 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 25 - 29 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 25 - 29 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 30 - 34 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 30 - 34 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 35 - 39 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 35 - 39 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 40 - 44 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 40 - 44 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 45 - 49 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 45 - 49 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 50 - 54 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 50 - 54 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 55 - 59 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
1990,Employed Female Residents Aged 55 - 59 Years,"Legislators, Senior Officials & Managers",Working Proprietors,na
1990,Employed Female Residents Aged 60 - 64 Years,"Legislators, Senior Officials & Managers",Managers & Administrators,na
