year,level_1,level_2,level_3,level_4,value
1990,All Industries (Employed Female Residents),Services,Business Services,Real Estate Services,15.9
1990,All Industries (Employed Female Residents),Services,Business Services,Professional Services,21.4
1990,All Industries (Employed Female Residents),Services,Business Services,Administrative & Support Services,10.1
1990,All Industries (Employed Female Residents),Services,"Community, Social & Personal Services",Public Administration & Education,44.4
1990,All Industries (Employed Female Residents),Services,"Community, Social & Personal Services",Health & Social Services,24
1990,All Industries (Employed Female Residents),Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,All Industries (Employed Female Residents),Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Female Residents Aged 15 - 19 Years,Services,Business Services,Real Estate Services,0.4
1990,Employed Female Residents Aged 15 - 19 Years,Services,Business Services,Professional Services,0.9
1990,Employed Female Residents Aged 15 - 19 Years,Services,Business Services,Administrative & Support Services,0.7
1990,Employed Female Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Public Administration & Education,1.4
1990,Employed Female Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Health & Social Services,0.9
1990,Employed Female Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Female Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Female Residents Aged 20 - 24 Years,Services,Business Services,Real Estate Services,1.6
1990,Employed Female Residents Aged 20 - 24 Years,Services,Business Services,Professional Services,5.3
1990,Employed Female Residents Aged 20 - 24 Years,Services,Business Services,Administrative & Support Services,2.6
1990,Employed Female Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Public Administration & Education,6.2
1990,Employed Female Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Health & Social Services,3.8
1990,Employed Female Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Female Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Female Residents Aged 25 - 29 Years,Services,Business Services,Real Estate Services,2.3
1990,Employed Female Residents Aged 25 - 29 Years,Services,Business Services,Professional Services,6.1
1990,Employed Female Residents Aged 25 - 29 Years,Services,Business Services,Administrative & Support Services,2.5
1990,Employed Female Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Public Administration & Education,8.6
1990,Employed Female Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Health & Social Services,4.1
1990,Employed Female Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Female Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
