year,level_1,value
1970,Total Unemployment Rate,8.2
1970,Resident Unemployment Rate,na
1971,Total Unemployment Rate,-
1971,Resident Unemployment Rate,na
1972,Total Unemployment Rate,-
1972,Resident Unemployment Rate,na
1973,Total Unemployment Rate,-
1973,Resident Unemployment Rate,na
1974,Total Unemployment Rate,-
1974,Resident Unemployment Rate,na
1975,Total Unemployment Rate,-
1975,Resident Unemployment Rate,na
1976,Total Unemployment Rate,-
1976,Resident Unemployment Rate,na
1977,Total Unemployment Rate,-
1977,Resident Unemployment Rate,na
1978,Total Unemployment Rate,-
1978,Resident Unemployment Rate,na
1979,Total Unemployment Rate,-
1979,Resident Unemployment Rate,na
1980,Total Unemployment Rate,3.5
1980,Resident Unemployment Rate,na
1981,Total Unemployment Rate,-
1981,Resident Unemployment Rate,na
1982,Total Unemployment Rate,-
1982,Resident Unemployment Rate,na
1983,Total Unemployment Rate,-
1983,Resident Unemployment Rate,na
1984,Total Unemployment Rate,-
1984,Resident Unemployment Rate,na
1985,Total Unemployment Rate,-
1985,Resident Unemployment Rate,na
1986,Total Unemployment Rate,-
1986,Resident Unemployment Rate,na
1987,Total Unemployment Rate,-
1987,Resident Unemployment Rate,na
1988,Total Unemployment Rate,-
1988,Resident Unemployment Rate,na
1989,Total Unemployment Rate,-
1989,Resident Unemployment Rate,na
1990,Total Unemployment Rate,1.7
1990,Resident Unemployment Rate,na
1991,Total Unemployment Rate,-
1991,Resident Unemployment Rate,na
1992,Total Unemployment Rate,2.4
1992,Resident Unemployment Rate,2.8
1993,Total Unemployment Rate,2.4
1993,Resident Unemployment Rate,2.8
1994,Total Unemployment Rate,2.2
1994,Resident Unemployment Rate,2.7
1995,Total Unemployment Rate,2.5
1995,Resident Unemployment Rate,3.2
1996,Total Unemployment Rate,2.4
1996,Resident Unemployment Rate,3.1
1997,Total Unemployment Rate,1.9
1997,Resident Unemployment Rate,2.5
1998,Total Unemployment Rate,2.5
1998,Resident Unemployment Rate,3.4
1999,Total Unemployment Rate,3.6
1999,Resident Unemployment Rate,4.9
2000,Total Unemployment Rate,4.4
2000,Resident Unemployment Rate,6
2001,Total Unemployment Rate,2.7
2001,Resident Unemployment Rate,3.8
2002,Total Unemployment Rate,4.2
2002,Resident Unemployment Rate,5.6
2003,Total Unemployment Rate,4.5
2003,Resident Unemployment Rate,5.9
2004,Total Unemployment Rate,4.4
2004,Resident Unemployment Rate,5.8
2005,Total Unemployment Rate,4.2
2005,Resident Unemployment Rate,5.6
2006,Total Unemployment Rate,3.4
2006,Resident Unemployment Rate,4.5
2007,Total Unemployment Rate,2.9
2007,Resident Unemployment Rate,4
2008,Total Unemployment Rate,2.8
2008,Resident Unemployment Rate,4
2009,Total Unemployment Rate,4.1
2009,Resident Unemployment Rate,5.9
2010,Total Unemployment Rate,2.8
2010,Resident Unemployment Rate,4.1
2011,Total Unemployment Rate,2.7
2011,Resident Unemployment Rate,3.9
2012,Total Unemployment Rate,2.6
2012,Resident Unemployment Rate,3.7
2013,Total Unemployment Rate,2.6
2013,Resident Unemployment Rate,3.9
2014,Total Unemployment Rate,2.6
2014,Resident Unemployment Rate,3.7
2015,Total Unemployment Rate,2.6
2015,Resident Unemployment Rate,3.8
