year,level_1,level_2,value
1990,Total Residents In The Labour Force,15 - 19 Years,55.6
1990,Total Residents In The Labour Force,20 - 24 Years,183.6
1990,Total Residents In The Labour Force,25 - 29 Years,240.5
1990,Total Residents In The Labour Force,30 - 34 Years,231.5
1990,Total Residents In The Labour Force,35 - 39 Years,193
1990,Total Residents In The Labour Force,40 - 44 Years,153.4
1990,Total Residents In The Labour Force,45 - 49 Years,89.7
1990,Total Residents In The Labour Force,50 - 54 Years,72.7
1990,Total Residents In The Labour Force,55 - 59 Years,45.3
1990,Total Residents In The Labour Force,60 - 64 Years,25.9
1990,Total Residents In The Labour Force,65 Years & Over,23.4
1990,Total Employed Residents,15 - 19 Years,53.6
1990,Total Employed Residents,20 - 24 Years,177.6
1990,Total Employed Residents,25 - 29 Years,234.9
1990,Total Employed Residents,30 - 34 Years,227.4
1990,Total Employed Residents,35 - 39 Years,190
1990,Total Employed Residents,40 - 44 Years,151.1
1990,Total Employed Residents,45 - 49 Years,88.1
1990,Total Employed Residents,50 - 54 Years,71.8
1990,Total Employed Residents,55 - 59 Years,45.1
1990,Total Employed Residents,60 - 64 Years,25.9
1990,Total Employed Residents,65 Years & Over,23.4
1990,Total Unemployed Residents,15 - 19 Years,2
1990,Total Unemployed Residents,20 - 24 Years,6.1
1990,Total Unemployed Residents,25 - 29 Years,5.6
1990,Total Unemployed Residents,30 - 34 Years,4.1
1990,Total Unemployed Residents,35 - 39 Years,3
1990,Total Unemployed Residents,40 - 44 Years,2.3
1990,Total Unemployed Residents,45 - 49 Years,1.5
1990,Total Unemployed Residents,50 - 54 Years,1
1990,Total Unemployed Residents,55 - 59 Years,0.2
1990,Total Unemployed Residents,60 - 64 Years,0
1990,Total Unemployed Residents,65 Years & Over,0
1990,Total Residents Outside The Labour Force,15 - 19 Years,165.8
1990,Total Residents Outside The Labour Force,20 - 24 Years,48.6
1990,Total Residents Outside The Labour Force,25 - 29 Years,43.2
1990,Total Residents Outside The Labour Force,30 - 34 Years,61.5
1990,Total Residents Outside The Labour Force,35 - 39 Years,59.7
1990,Total Residents Outside The Labour Force,40 - 44 Years,50.6
1990,Total Residents Outside The Labour Force,45 - 49 Years,37.9
1990,Total Residents Outside The Labour Force,50 - 54 Years,44.8
1990,Total Residents Outside The Labour Force,55 - 59 Years,54.5
1990,Total Residents Outside The Labour Force,60 - 64 Years,56.9
1990,Total Residents Outside The Labour Force,65 Years & Over,140.6
1991,Total Residents In The Labour Force,15 - 19 Years,67
1991,Total Residents In The Labour Force,20 - 24 Years,191.5
1991,Total Residents In The Labour Force,25 - 29 Years,234.5
1991,Total Residents In The Labour Force,30 - 34 Years,229.3
1991,Total Residents In The Labour Force,35 - 39 Years,201.7
1991,Total Residents In The Labour Force,40 - 44 Years,171.8
1991,Total Residents In The Labour Force,45 - 49 Years,97
1991,Total Residents In The Labour Force,50 - 54 Years,86.1
1991,Total Residents In The Labour Force,55 - 59 Years,49.4
1991,Total Residents In The Labour Force,60 - 64 Years,26.7
1991,Total Residents In The Labour Force,65 Years & Over,17.9
1991,Total Employed Residents,15 - 19 Years,63.8
1991,Total Employed Residents,20 - 24 Years,185.5
1991,Total Employed Residents,25 - 29 Years,229.2
1991,Total Employed Residents,30 - 34 Years,225.8
1991,Total Employed Residents,35 - 39 Years,198.4
1991,Total Employed Residents,40 - 44 Years,169
1991,Total Employed Residents,45 - 49 Years,95.8
1991,Total Employed Residents,50 - 54 Years,84.5
1991,Total Employed Residents,55 - 59 Years,48.8
1991,Total Employed Residents,60 - 64 Years,26.4
1991,Total Employed Residents,65 Years & Over,17.8
1991,Total Unemployed Residents,15 - 19 Years,3.2
1991,Total Unemployed Residents,20 - 24 Years,6
1991,Total Unemployed Residents,25 - 29 Years,5.3
1991,Total Unemployed Residents,30 - 34 Years,3.6
1991,Total Unemployed Residents,35 - 39 Years,3.2
1991,Total Unemployed Residents,40 - 44 Years,2.8
1991,Total Unemployed Residents,45 - 49 Years,1.2
1991,Total Unemployed Residents,50 - 54 Years,1.6
1991,Total Unemployed Residents,55 - 59 Years,0.6
1991,Total Unemployed Residents,60 - 64 Years,0.3
1991,Total Unemployed Residents,65 Years & Over,0.1
1991,Total Residents Outside The Labour Force,15 - 19 Years,167.8
1991,Total Residents Outside The Labour Force,20 - 24 Years,44.9
1991,Total Residents Outside The Labour Force,25 - 29 Years,40.6
1991,Total Residents Outside The Labour Force,30 - 34 Years,59.2
1991,Total Residents Outside The Labour Force,35 - 39 Years,58.2
1991,Total Residents Outside The Labour Force,40 - 44 Years,54.7
1991,Total Residents Outside The Labour Force,45 - 49 Years,40.7
1991,Total Residents Outside The Labour Force,50 - 54 Years,50.2
1991,Total Residents Outside The Labour Force,55 - 59 Years,57.8
1991,Total Residents Outside The Labour Force,60 - 64 Years,62.8
1991,Total Residents Outside The Labour Force,65 Years & Over,143.8
1992,Total Residents In The Labour Force,15 - 19 Years,61.9
1992,Total Residents In The Labour Force,20 - 24 Years,189.8
1992,Total Residents In The Labour Force,25 - 29 Years,236.7
1992,Total Residents In The Labour Force,30 - 34 Years,237.1
1992,Total Residents In The Labour Force,35 - 39 Years,205.4
1992,Total Residents In The Labour Force,40 - 44 Years,176.8
1992,Total Residents In The Labour Force,45 - 49 Years,111
1992,Total Residents In The Labour Force,50 - 54 Years,90.5
1992,Total Residents In The Labour Force,55 - 59 Years,50.8
1992,Total Residents In The Labour Force,60 - 64 Years,28.4
1992,Total Residents In The Labour Force,65 Years & Over,21.4
1992,Total Employed Residents,15 - 19 Years,57.9
1992,Total Employed Residents,20 - 24 Years,178.8
1992,Total Employed Residents,25 - 29 Years,229.3
1992,Total Employed Residents,30 - 34 Years,231.7
1992,Total Employed Residents,35 - 39 Years,201.6
1992,Total Employed Residents,40 - 44 Years,173.8
1992,Total Employed Residents,45 - 49 Years,108.6
1992,Total Employed Residents,50 - 54 Years,88.7
1992,Total Employed Residents,55 - 59 Years,50.1
1992,Total Employed Residents,60 - 64 Years,28.1
1992,Total Employed Residents,65 Years & Over,21.2
1992,Total Unemployed Residents,15 - 19 Years,4.1
1992,Total Unemployed Residents,20 - 24 Years,11.1
1992,Total Unemployed Residents,25 - 29 Years,7.4
1992,Total Unemployed Residents,30 - 34 Years,5.4
1992,Total Unemployed Residents,35 - 39 Years,3.7
1992,Total Unemployed Residents,40 - 44 Years,3
1992,Total Unemployed Residents,45 - 49 Years,2.4
1992,Total Unemployed Residents,50 - 54 Years,1.8
1992,Total Unemployed Residents,55 - 59 Years,0.7
1992,Total Unemployed Residents,60 - 64 Years,0.3
1992,Total Unemployed Residents,65 Years & Over,0.2
1992,Total Residents Outside The Labour Force,15 - 19 Years,167.5
1992,Total Residents Outside The Labour Force,20 - 24 Years,51
1992,Total Residents Outside The Labour Force,25 - 29 Years,38.3
1992,Total Residents Outside The Labour Force,30 - 34 Years,55.5
1992,Total Residents Outside The Labour Force,35 - 39 Years,61.5
1992,Total Residents Outside The Labour Force,40 - 44 Years,55.3
1992,Total Residents Outside The Labour Force,45 - 49 Years,44.2
1992,Total Residents Outside The Labour Force,50 - 54 Years,54.4
1992,Total Residents Outside The Labour Force,55 - 59 Years,57.5
1992,Total Residents Outside The Labour Force,60 - 64 Years,64.8
1992,Total Residents Outside The Labour Force,65 Years & Over,145.2
1993,Total Residents In The Labour Force,15 - 19 Years,53.5
1993,Total Residents In The Labour Force,20 - 24 Years,190.9
1993,Total Residents In The Labour Force,25 - 29 Years,221.8
1993,Total Residents In The Labour Force,30 - 34 Years,227
1993,Total Residents In The Labour Force,35 - 39 Years,215.4
1993,Total Residents In The Labour Force,40 - 44 Years,190.1
1993,Total Residents In The Labour Force,45 - 49 Years,128.8
1993,Total Residents In The Labour Force,50 - 54 Years,90.2
1993,Total Residents In The Labour Force,55 - 59 Years,53.4
1993,Total Residents In The Labour Force,60 - 64 Years,28.9
1993,Total Residents In The Labour Force,65 Years & Over,21.7
1993,Total Employed Residents,15 - 19 Years,49.7
1993,Total Employed Residents,20 - 24 Years,179.3
1993,Total Employed Residents,25 - 29 Years,214.4
1993,Total Employed Residents,30 - 34 Years,222.6
1993,Total Employed Residents,35 - 39 Years,211.1
1993,Total Employed Residents,40 - 44 Years,187
1993,Total Employed Residents,45 - 49 Years,126.7
1993,Total Employed Residents,50 - 54 Years,88.4
1993,Total Employed Residents,55 - 59 Years,52.5
1993,Total Employed Residents,60 - 64 Years,28.5
1993,Total Employed Residents,65 Years & Over,21.4
1993,Total Unemployed Residents,15 - 19 Years,3.8
1993,Total Unemployed Residents,20 - 24 Years,11.7
1993,Total Unemployed Residents,25 - 29 Years,7.4
1993,Total Unemployed Residents,30 - 34 Years,4.4
1993,Total Unemployed Residents,35 - 39 Years,4.3
1993,Total Unemployed Residents,40 - 44 Years,3
1993,Total Unemployed Residents,45 - 49 Years,2.1
1993,Total Unemployed Residents,50 - 54 Years,1.7
1993,Total Unemployed Residents,55 - 59 Years,0.9
1993,Total Unemployed Residents,60 - 64 Years,0.5
