year,level_1,level_2,value
1990,Male Residents In The Labour Force,15 - 19 Years,29.1
1990,Male Residents In The Labour Force,20 - 24 Years,95.3
1990,Male Residents In The Labour Force,25 - 29 Years,135.5
1990,Male Residents In The Labour Force,30 - 34 Years,142.1
1990,Male Residents In The Labour Force,35 - 39 Years,123.9
1990,Male Residents In The Labour Force,40 - 44 Years,99.7
1990,Male Residents In The Labour Force,45 - 49 Years,60.8
1990,Male Residents In The Labour Force,50 - 54 Years,52
1990,Male Residents In The Labour Force,55 - 59 Years,34
1990,Male Residents In The Labour Force,60 - 64 Years,20.1
1990,Male Residents In The Labour Force,65 Years & Over,17.8
1990,Male Employed Residents,15 - 19 Years,28.6
1990,Male Employed Residents,20 - 24 Years,91.8
1990,Male Employed Residents,25 - 29 Years,131.5
1990,Male Employed Residents,30 - 34 Years,138.9
1990,Male Employed Residents,35 - 39 Years,121.6
1990,Male Employed Residents,40 - 44 Years,98
1990,Male Employed Residents,45 - 49 Years,59.5
1990,Male Employed Residents,50 - 54 Years,51.2
1990,Male Employed Residents,55 - 59 Years,33.9
1990,Male Employed Residents,60 - 64 Years,20.1
1990,Male Employed Residents,65 Years & Over,17.8
1990,Male Unemployed Residents,15 - 19 Years,0.5
1990,Male Unemployed Residents,20 - 24 Years,3.6
1990,Male Unemployed Residents,25 - 29 Years,4
1990,Male Unemployed Residents,30 - 34 Years,3.1
1990,Male Unemployed Residents,35 - 39 Years,2.3
1990,Male Unemployed Residents,40 - 44 Years,1.8
1990,Male Unemployed Residents,45 - 49 Years,1.3
1990,Male Unemployed Residents,50 - 54 Years,0.9
1990,Male Unemployed Residents,55 - 59 Years,0.2
1990,Male Unemployed Residents,60 - 64 Years,0
1990,Male Unemployed Residents,65 Years & Over,0
1990,Male Residents Outside The Labour Force,15 - 19 Years,85.3
1990,Male Residents Outside The Labour Force,20 - 24 Years,23.1
1990,Male Residents Outside The Labour Force,25 - 29 Years,8.2
1990,Male Residents Outside The Labour Force,30 - 34 Years,7.3
1990,Male Residents Outside The Labour Force,35 - 39 Years,4.8
1990,Male Residents Outside The Labour Force,40 - 44 Years,3.5
1990,Male Residents Outside The Labour Force,45 - 49 Years,3.5
1990,Male Residents Outside The Labour Force,50 - 54 Years,7.1
1990,Male Residents Outside The Labour Force,55 - 59 Years,15.7
1990,Male Residents Outside The Labour Force,60 - 64 Years,20.9
1990,Male Residents Outside The Labour Force,65 Years & Over,55.9
1991,Male Residents In The Labour Force,15 - 19 Years,36.9
1991,Male Residents In The Labour Force,20 - 24 Years,99.4
1991,Male Residents In The Labour Force,25 - 29 Years,134.5
1991,Male Residents In The Labour Force,30 - 34 Years,143.3
1991,Male Residents In The Labour Force,35 - 39 Years,131
1991,Male Residents In The Labour Force,40 - 44 Years,110.2
1991,Male Residents In The Labour Force,45 - 49 Years,64.1
1991,Male Residents In The Labour Force,50 - 54 Years,63.1
1991,Male Residents In The Labour Force,55 - 59 Years,38.2
1991,Male Residents In The Labour Force,60 - 64 Years,21.3
1991,Male Residents In The Labour Force,65 Years & Over,14.2
1991,Male Employed Residents,15 - 19 Years,35.7
1991,Male Employed Residents,20 - 24 Years,96.4
1991,Male Employed Residents,25 - 29 Years,131
1991,Male Employed Residents,30 - 34 Years,140.8
1991,Male Employed Residents,35 - 39 Years,129.1
