year,level_1,level_2,level_3,level_4,value
1990,All Industries (Employed Male Residents),Services,Business Services,Real Estate Services,23.2
1990,All Industries (Employed Male Residents),Services,Business Services,Professional Services,20.7
1990,All Industries (Employed Male Residents),Services,Business Services,Administrative & Support Services,17.4
1990,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Public Administration & Education,97.1
1990,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services",Health & Social Services,9
1990,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,All Industries (Employed Male Residents),Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Real Estate Services,0.5
1990,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Professional Services,0.1
1990,Employed Male Residents Aged 15 - 19 Years,Services,Business Services,Administrative & Support Services,0.2
1990,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Public Administration & Education,18.4
1990,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services",Health & Social Services,0
1990,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 15 - 19 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Real Estate Services,1
1990,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Professional Services,1.6
1990,Employed Male Residents Aged 20 - 24 Years,Services,Business Services,Administrative & Support Services,1.8
1990,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Public Administration & Education,32.1
1990,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services",Health & Social Services,0.6
1990,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 20 - 24 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Real Estate Services,3.1
1990,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Professional Services,4.4
1990,Employed Male Residents Aged 25 - 29 Years,Services,Business Services,Administrative & Support Services,2.7
1990,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Public Administration & Education,11.4
1990,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services",Health & Social Services,1.3
1990,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 25 - 29 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Real Estate Services,4
1990,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Professional Services,4.4
1990,Employed Male Residents Aged 30 - 34 Years,Services,Business Services,Administrative & Support Services,2.8
1990,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Public Administration & Education,8.6
1990,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services",Health & Social Services,1.3
1990,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 30 - 34 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Real Estate Services,4
1990,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Professional Services,3.7
1990,Employed Male Residents Aged 35 - 39 Years,Services,Business Services,Administrative & Support Services,2.4
1990,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Public Administration & Education,7.5
1990,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services",Health & Social Services,1.1
1990,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 35 - 39 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Real Estate Services,3
1990,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Professional Services,2.6
1990,Employed Male Residents Aged 40 - 44 Years,Services,Business Services,Administrative & Support Services,2
1990,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Public Administration & Education,8.1
1990,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services",Health & Social Services,1.2
1990,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Arts, Entertainment & Recreation",na
1990,Employed Male Residents Aged 40 - 44 Years,Services,"Community, Social & Personal Services","Other Community, Social & Personal Services",na
1990,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Real Estate Services,1.8
1990,Employed Male Residents Aged 45 - 49 Years,Services,Business Services,Professional Services,1.5
