year,level_1,value
2001,Median (50th Percentile),2387
2001,20th Percentile,1383
2002,Median (50th Percentile),2380
2002,20th Percentile,1346
2003,Median (50th Percentile),2410
2003,20th Percentile,1334
2004,Median (50th Percentile),2326
2004,20th Percentile,1305
2006,Median (50th Percentile),2449
2006,20th Percentile,1286
2007,Median (50th Percentile),2543
2007,20th Percentile,1356
2008,Median (50th Percentile),2897
2008,20th Percentile,1489
2009,Median (50th Percentile),2927
2009,20th Percentile,1500
2010,Median (50th Percentile),3000
2010,20th Percentile,1600
2011,Median (50th Percentile),3249
2011,20th Percentile,1733
2012,Median (50th Percentile),3480
2012,20th Percentile,1740
2013,Median (50th Percentile),3705
2013,20th Percentile,1885
2014,Median (50th Percentile),3770
2014,20th Percentile,1972
2015,Median (50th Percentile),3949
2015,20th Percentile,na
